transaction_id,date,description,payee,amount,channel
TXN-1224,2026-01-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,65000.0,NEFT
TXN-1236,2026-01-01 20:48:41,Grocery & Household Supplies,Local Kirana Store,2189.82,UPI
TXN-1237,2026-01-02 17:41:40,Personal Transfer,Amit Kapoor,4389.11,UPI
TXN-1238,2026-01-02 18:20:09,Restaurant / Cafe Dining,Mainland China Resto,862.91,UPI
TXN-1239,2026-01-03 12:37:03,Restaurant / Cafe Dining,Blue Tokai Coffee,641.49,UPI
TXN-1240,2026-01-04 08:23:53,Grocery & Household Supplies,Fresh Mart,2756.28,UPI
TXN-1225,2026-01-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1241,2026-01-05 16:50:47,Retail E-Commerce Purchase,Decathlon Sports,6017.96,CARD
TXN-1242,2026-01-06 11:20:38,Restaurant / Cafe Dining,Swiggy Orders,1728.97,UPI
TXN-1243,2026-01-07 20:57:53,Grocery & Household Supplies,Fresh Mart,2342.06,CARD
TXN-1245,2026-01-09 12:24:26,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,973.06,UPI
TXN-1244,2026-01-09 15:33:33,Restaurant / Cafe Dining,Zomato Delivery,746.39,UPI
TXN-1246,2026-01-12 12:16:46,Retail E-Commerce Purchase,Flipkart Internet,2966.82,CARD
TXN-1247,2026-01-12 17:42:09,Retail E-Commerce Purchase,Zara Clothing,6328.79,CARD
TXN-1248,2026-01-13 14:08:38,Utility & Telecom Bill Payment,State Electricity Board,1577.52,UPI
TXN-1249,2026-01-13 18:50:21,Retail E-Commerce Purchase,Amazon India,4623.93,CARD
TXN-1250,2026-01-14 13:01:23,Grocery & Household Supplies,Nature Basket,1731.5,UPI
TXN-1251,2026-01-16 10:04:18,Retail E-Commerce Purchase,Amazon India,3890.76,CARD
TXN-1252,2026-01-16 16:53:47,Retail E-Commerce Purchase,Amazon India,4708.22,CARD
TXN-1253,2026-01-16 20:39:08,Restaurant / Cafe Dining,Swiggy Orders,392.58,UPI
TXN-1255,2026-01-17 13:43:46,Grocery & Household Supplies,Local Kirana Store,2739.73,UPI
TXN-1254,2026-01-17 20:39:51,Retail E-Commerce Purchase,Decathlon Sports,1431.57,CARD
TXN-1258,2026-01-20 10:52:12,Retail E-Commerce Purchase,Flipkart Internet,5826.91,CARD
TXN-1257,2026-01-20 17:28:29,Utility & Telecom Bill Payment,Municipal Water Dept,2031.83,UPI
TXN-1256,2026-01-20 20:30:57,Retail E-Commerce Purchase,Zara Clothing,4795.03,CARD
TXN-1259,2026-01-22 13:35:59,Grocery & Household Supplies,Daily Needs Supermarket,3641.87,UPI
TXN-1260,2026-01-25 16:09:53,Restaurant / Cafe Dining,Swiggy Orders,1492.06,UPI
TXN-1261,2026-01-26 08:26:03,Restaurant / Cafe Dining,Zomato Delivery,516.11,UPI
TXN-1262,2026-01-26 09:23:14,Grocery & Household Supplies,Fresh Mart,3596.91,UPI
TXN-1263,2026-01-27 10:02:18,Retail E-Commerce Purchase,Decathlon Sports,4889.18,CARD
TXN-1264,2026-01-27 10:48:45,Restaurant / Cafe Dining,Chai Point,128.82,UPI
TXN-1265,2026-01-29 21:09:35,Personal Transfer,Domestic Help Anita,2874.97,UPI
TXN-1266,2026-01-31 12:07:03,Grocery & Household Supplies,Daily Needs Supermarket,2164.18,CARD
TXN-1226,2026-02-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,65000.0,NEFT
TXN-1268,2026-02-01 12:27:00,Restaurant / Cafe Dining,Swiggy Orders,1078.72,UPI
TXN-1267,2026-02-01 15:38:34,Grocery & Household Supplies,Daily Needs Supermarket,2606.43,CARD
TXN-1269,2026-02-03 16:23:04,Personal Transfer,Domestic Help Anita,2782.97,UPI
TXN-1270,2026-02-03 16:35:01,Restaurant / Cafe Dining,Mainland China Resto,193.14,UPI
TXN-1271,2026-02-04 13:16:47,Grocery & Household Supplies,Fresh Mart,1743.01,CARD
TXN-1227,2026-02-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1272,2026-02-05 19:48:21,Grocery & Household Supplies,BigBasket Online,2497.55,CARD
